pair_id,condition,epsilon,lpips,ssim,psnr
30,random_4,0.01568627450980392,0.009125,0.953093,40.727718
30,random_8,0.03137254901960784,0.048021,0.846076,34.798032
30,fgsm_4,0.01568627450980392,0.054277,0.926838,37.847216
30,fgsm_8,0.03137254901960784,0.150911,0.797512,31.826708
30,pgd_4,0.01568627450980392,0.019400,0.970391,41.892974
30,pgd_8,0.03137254901960784,0.069372,0.908324,36.584927
31,clean,,,,
31,random_4,0.01568627450980392,0.001987,0.985613,40.820810
31,random_8,0.03137254901960784,0.010067,0.951112,34.964548
31,fgsm_4,0.01568627450980392,0.029351,0.967319,36.573029
31,fgsm_8,0.03137254901960784,0.105537,0.900092,30.646362
31,pgd_4,0.01568627450980392,0.009934,0.986576,40.585001
31,pgd_8,0.03137254901960784,0.039240,0.958461,35.113210
32,clean,,,,
32,random_4,0.01568627450980392,0.002355,0.979082,40.788924
32,random_8,0.03137254901960784,0.012845,0.927857,34.907343
32,fgsm_4,0.01568627450980392,0.031700,0.964304,37.365413
32,fgsm_8,0.03137254901960784,0.114265,0.888246,31.394824
32,pgd_4,0.01568627450980392,0.009738,0.985919,41.426758
32,pgd_8,0.03137254901960784,0.038641,0.953612,35.921425
33,clean,,,,
33,random_4,0.01568627450980392,0.009317,0.953100,40.730885
33,random_8,0.03137254901960784,0.047211,0.846395,34.807898
33,fgsm_4,0.01568627450980392,0.055949,0.926659,37.847220
33,fgsm_8,0.03137254901960784,0.154640,0.797181,31.826717
33,pgd_4,0.01568627450980392,0.019721,0.970604,41.924692
33,pgd_8,0.03137254901960784,0.067501,0.908411,36.591833
34,clean,,,,
34,random_4,0.01568627450980392,0.002130,0.985593,40.815010
34,random_8,0.03137254901960784,0.009618,0.951269,34.972357
34,fgsm_4,0.01568627450980392,0.028563,0.967357,36.573487
34,fgsm_8,0.03137254901960784,0.103840,0.900059,30.646291
34,pgd_4,0.01568627450980392,0.009284,0.987325,40.913429
34,pgd_8,0.03137254901960784,0.039469,0.958332,35.115051
35,clean,,,,
35,random_4,0.01568627450980392,0.002344,0.979100,40.788590
35,random_8,0.03137254901960784,0.012765,0.927738,34.903048
35,fgsm_4,0.01568627450980392,0.033691,0.964253,37.364257
35,fgsm_8,0.03137254901960784,0.116549,0.888144,31.392867
35,pgd_4,0.01568627450980392,0.009400,0.985888,41.373539
35,pgd_8,0.03137254901960784,0.039810,0.954311,35.960211
36,clean,,,,
36,random_4,0.01568627450980392,0.009357,0.953063,40.728852
36,random_8,0.03137254901960784,0.047322,0.846384,34.807695
36,fgsm_4,0.01568627450980392,0.053774,0.926751,37.847226
36,fgsm_8,0.03137254901960784,0.152788,0.797251,31.826730
36,pgd_4,0.01568627450980392,0.022792,0.970294,41.995922
36,pgd_8,0.03137254901960784,0.068337,0.909318,36.604732
37,clean,,,,
37,random_4,0.01568627450980392,0.002032,0.985616,40.820439
37,random_8,0.03137254901960784,0.010107,0.951174,34.966800
37,fgsm_4,0.01568627450980392,0.027415,0.967321,36.571443
37,fgsm_8,0.03137254901960784,0.102831,0.900207,30.642781
37,pgd_4,0.01568627450980392,0.010023,0.987132,40.760808
37,pgd_8,0.03137254901960784,0.038535,0.958369,35.073323
38,clean,,,,
38,random_4,0.01568627450980392,0.002357,0.979108,40.784215
38,random_8,0.03137254901960784,0.012733,0.927751,34.902050
38,fgsm_4,0.01568627450980392,0.033148,0.964337,37.364457
38,fgsm_8,0.03137254901960784,0.114841,0.888432,31.392235
38,pgd_4,0.01568627450980392,0.010395,0.985430,41.206322
38,pgd_8,0.03137254901960784,0.041142,0.953283,35.834031
39,clean,,,,
39,random_4,0.01568627450980392,0.008960,0.953023,40.723149
39,random_8,0.03137254901960784,0.047955,0.846316,34.806716
39,fgsm_4,0.01568627450980392,0.055401,0.926735,37.847220
39,fgsm_8,0.03137254901960784,0.154355,0.797175,31.826702
39,pgd_4,0.01568627450980392,0.020870,0.971186,42.106132
39,pgd_8,0.03137254901960784,0.068582,0.908679,36.563494
40,clean,,,,
40,random_4,0.01568627450980392,0.001917,0.985604,40.823679
40,random_8,0.03137254901960784,0.010045,0.951139,34.968715
40,fgsm_4,0.01568627450980392,0.030322,0.967404,36.573830
40,fgsm_8,0.03137254901960784,0.107912,0.900286,30.646597
40,pgd_4,0.01568627450980392,0.010955,0.986514,40.674842
40,pgd_8,0.03137254901960784,0.039762,0.958724,35.166156
41,clean,,,,
41,random_4,0.01568627450980392,0.002294,0.979072,40.787542
41,random_8,0.03137254901960784,0.012691,0.927922,34.909677
41,fgsm_4,0.01568627450980392,0.034003,0.964275,37.363203
41,fgsm_8,0.03137254901960784,0.118304,0.888396,31.391632
41,pgd_4,0.01568627450980392,0.009392,0.985866,41.375397
41,pgd_8,0.03137254901960784,0.042592,0.953646,35.873999
42,clean,,,,
42,random_4,0.01568627450980392,0.009442,0.953169,40.734080
42,random_8,0.03137254901960784,0.048445,0.846477,34.813448
42,fgsm_4,0.01568627450980392,0.055204,0.926882,37.847214
42,fgsm_8,0.03137254901960784,0.152549,0.797597,31.826704
42,pgd_4,0.01568627450980392,0.022506,0.970086,41.902836
42,pgd_8,0.03137254901960784,0.068038,0.908241,36.542087
43,clean,,,,
43,random_4,0.01568627450980392,0.001956,0.985598,40.817012
43,random_8,0.03137254901960784,0.010358,0.951304,34.968223
43,fgsm_4,0.01568627450980392,0.028597,0.967237,36.574050
43,fgsm_8,0.03137254901960784,0.104612,0.899858,30.648322
43,pgd_4,0.01568627450980392,0.010857,0.986643,40.733467
43,pgd_8,0.03137254901960784,0.037375,0.958221,35.109330
44,clean,,,,
44,random_4,0.01568627450980392,0.002467,0.979093,40.784381
44,random_8,0.03137254901960784,0.012845,0.927875,34.905196
44,fgsm_4,0.01568627450980392,0.034525,0.964214,37.363700
44,fgsm_8,0.03137254901960784,0.119432,0.888122,31.392191
44,pgd_4,0.01568627450980392,0.009788,0.986047,41.455125
44,pgd_8,0.03137254901960784,0.042043,0.954339,36.013583
